user_id,timestamp,foreground_app,opened_apps,user_group,event_type
local,2026-06-30 18:40:31,WPS,WPS,通用用户,Opened
local,2026-06-30 18:40:31,WPS,WPS,通用用户,Switched
local,2026-06-30 18:40:36,WPS,WPS,通用用户,Opened
local,2026-06-30 18:40:36,WPS,WPS,通用用户,Switched
local,2026-06-30 18:40:38,WPS,WPS,通用用户,Switched
local,2026-06-30 18:40:39,腾讯QQ,腾讯QQ,通用用户,Opened
local,2026-06-30 18:40:39,腾讯QQ,腾讯QQ,通用用户,Switched
local,2026-06-30 18:40:43,火狐浏览器,腾讯QQ;火狐浏览器,通用用户,Opened
local,2026-06-30 18:40:44,火狐浏览器,腾讯QQ;火狐浏览器,通用用户,Switched
local,2026-06-30 18:40:50,腾讯QQ,腾讯QQ;火狐浏览器,通用用户,Switched
local,2026-06-30 18:41:20,火狐浏览器,腾讯QQ;火狐浏览器,通用用户,Switched
local,2026-06-30 18:44:49,火狐浏览器,火狐浏览器,通用用户,Switched
local,2026-06-30 18:48:13,火狐浏览器,火狐浏览器,通用用户,Opened
local,2026-06-30 18:52:16,WPS,火狐浏览器;WPS,通用用户,Opened
local,2026-06-30 18:52:16,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 18:52:21,WPS,火狐浏览器;WPS,通用用户,Opened
local,2026-06-30 18:52:21,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 18:52:23,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 18:52:28,火狐浏览器,火狐浏览器,通用用户,Opened
local,2026-06-30 18:53:06,WPS,火狐浏览器;WPS,通用用户,Opened
local,2026-06-30 18:53:06,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 18:53:11,WPS,火狐浏览器;WPS,通用用户,Opened
local,2026-06-30 18:53:11,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 18:53:13,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 18:53:18,火狐浏览器,火狐浏览器,通用用户,Opened
local,2026-06-30 18:53:27,火狐浏览器,火狐浏览器,通用用户,Opened
local,2026-06-30 18:53:27,火狐浏览器,火狐浏览器,通用用户,Switched
local,2026-06-30 18:53:29,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 18:56:47,腾讯QQ,腾讯QQ,通用用户,Opened
local,2026-06-30 18:56:47,腾讯QQ,腾讯QQ,通用用户,Switched
local,2026-06-30 18:57:19,WPS,WPS,通用用户,Opened
local,2026-06-30 18:57:19,WPS,WPS,通用用户,Switched
local,2026-06-30 18:57:24,WPS,WPS,通用用户,Opened
local,2026-06-30 18:57:24,WPS,WPS,通用用户,Switched
local,2026-06-30 18:57:26,WPS,WPS,通用用户,Switched
local,2026-06-30 18:57:28,腾讯QQ,腾讯QQ,通用用户,Opened
local,2026-06-30 18:57:28,腾讯QQ,腾讯QQ,通用用户,Switched
local,2026-06-30 18:57:32,火狐浏览器,腾讯QQ;火狐浏览器,通用用户,Opened
local,2026-06-30 18:57:56,WPS,腾讯QQ;火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 19:00:34,WPS,火狐浏览器;WPS,通用用户,Opened
local,2026-06-30 19:00:34,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 19:00:38,WPS,火狐浏览器;WPS,通用用户,Opened
local,2026-06-30 19:00:38,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 19:00:40,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 19:00:42,腾讯QQ,火狐浏览器;腾讯QQ,通用用户,Opened
local,2026-06-30 19:00:42,腾讯QQ,火狐浏览器;腾讯QQ,通用用户,Switched
local,2026-06-30 19:00:46,火狐浏览器,火狐浏览器;腾讯QQ,通用用户,Opened
local,2026-06-30 19:01:26,WPS,火狐浏览器;腾讯QQ;WPS,通用用户,Switched
local,2026-06-30 19:01:48,WPS,火狐浏览器;WPS,通用用户,Opened
local,2026-06-30 19:01:48,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 19:01:53,WPS,火狐浏览器;WPS,通用用户,Opened
local,2026-06-30 19:01:53,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 19:01:55,WPS,火狐浏览器;WPS,通用用户,Switched
local,2026-06-30 19:01:57,腾讯QQ,火狐浏览器;腾讯QQ,通用用户,Opened
local,2026-06-30 19:01:57,腾讯QQ,火狐浏览器;腾讯QQ,通用用户,Switched
local,2026-06-30 19:02:01,火狐浏览器,火狐浏览器;腾讯QQ,通用用户,Opened
local,2026-06-30 19:02:28,WPS,火狐浏览器;腾讯QQ;WPS,通用用户,Switched
