process_name,event_count,mapped_app,mapping_type,mapping_reason,is_system,is_in_target_vocab,type
com.huawei.hmos.browser,56011,华为浏览器,alias,explicit process alias: com.huawei.hmos.browser,False,True,app
com.tencent.wechat.pc,54466,微信,alias,explicit process alias: com.tencent.wechat.pc,False,True,app
cn.wps.office.hap,41176,WPS,alias,explicit process alias: cn.wps.office.hap,False,True,app
com.huawei.hmos.filemanager,39412,,system,system/background service rule,True,False,system
com.huawei.hmos.settings,16990,,system,system/background service rule,True,False,system
com.huawei.hmsapp.appgallery,12270,,system,system/background service rule,True,False,system
com.tencent.wework.hmos,11336,,unresolved,no safe mapping rule matched,False,False,unresolved
yylx.danmaku.bili,9581,哔哩哔哩,alias,explicit process alias: yylx.danmaku.bili,False,True,app
com.huawei.shell_assistant,8906,,system,system/background service rule,True,False,system
com.huawei.hmos.vassistant,7999,,system,system/background service rule,True,False,system
com.haitai.htbrowser,6855,海泰浏览器,alias,explicit process alias: com.haitai.htbrowser,False,True,app
com.tencent.harmonyqq,5358,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmsapp.music,5064,华为音乐,alias,explicit process alias: com.huawei.hmsapp.music,False,True,app
com.huawei.hmos.notepad,4936,备忘录,alias,explicit process alias: com.huawei.hmos.notepad,False,True,app
com.xingin.xhs_hos,4608,小红书,alias,explicit process alias: com.xingin.xhs_hos,False,True,app
com.huawei.hmos.photos,4503,,unresolved,no safe mapping rule matched,False,False,unresolved
com.tencent.hm.qqmusic,3806,华为音乐,category_fallback,recognized music; app_vocab.json has one candidate: 华为音乐,False,True,app
com.ss.ohpc.ugc.aweme,3702,抖音,alias,explicit process alias: com.ss.ohpc.ugc.aweme,False,True,app
com.hos.moonshot.kimichat,3480,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmos.devicecollaboration,2646,,system,system/background service rule,True,False,system
com.hm.youdao,2525,,unresolved,no safe mapping rule matched,False,False,unresolved
com.sanway.ecoengine,2246,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmos.email,2216,华为邮箱,alias,explicit process alias: com.huawei.hmos.email,False,True,app
com.ss.feishu,2196,飞书,alias,explicit process alias: com.ss.feishu,False,True,app
com.huawei.hmos.videoplayer,2172,华为视频,alias,explicit process alias: com.huawei.hmos.videoplayer,False,True,app
com.salmon.sweetmusic,1924,华为音乐,category_fallback,recognized music; app_vocab.json has one candidate: 华为音乐,False,True,app
com.wifiservice.portallogin,1915,,system,system/background service rule,True,False,system
com.dingtalk.hmos.pc,1837,钉钉,alias,explicit process alias: com.dingtalk.hmos.pc,False,True,app
com.huawei.hmos.hipreview,1794,,system,system/background service rule,True,False,system
com.luna.hm.music,1696,华为音乐,category_fallback,recognized music; app_vocab.json has one candidate: 华为音乐,False,True,app
com.tencent.meeting.app,1560,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmos.myhuawei,1484,,system,system/background service rule,True,False,system
com.qihoo.hms.browser,1425,,unresolved,"category browser is ambiguous or unavailable in app_vocab.json: 华为浏览器,海泰浏览器",False,False,unresolved
com.huawei.hmsapp.himovie,1378,华为视频,alias,explicit process alias: com.huawei.hmsapp.himovie,False,True,app
com.huawei.hmsapp.totemweather,1211,,system,system/background service rule,True,False,system
com.huawei.hmsapp.hisearch,1080,,system,system/background service rule,True,False,system
com.aliyun.tongyi4ohos,1049,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmos.hinotepad,1041,备忘录,alias,explicit process alias: com.huawei.hmos.hinotepad,False,True,app
com.oseasy1.ohvm,1033,,unresolved,no safe mapping rule matched,False,False,unresolved
com.droi.tong,952,,unresolved,no safe mapping rule matched,False,False,unresolved
com.baidu.netdisk.hmpc,922,,unresolved,no safe mapping rule matched,False,False,unresolved
com.tencent.qidian,917,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmos.calculator,857,,unresolved,no safe mapping rule matched,False,False,unresolved
com.quark.ohosbrowser,854,,unresolved,"category browser is ambiguous or unavailable in app_vocab.json: 华为浏览器,海泰浏览器",False,False,unresolved
com.hmkuwo.cn,832,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmos.calendar,799,日历,package_match,package contains calendar,False,True,app
com.kugou.hmmusic,782,华为音乐,category_fallback,recognized music; app_vocab.json has one candidate: 华为音乐,False,True,app
com.qiyi.video.hmy,714,华为视频,category_fallback,recognized video; app_vocab.json has one candidate: 华为视频,False,True,app
com.netease.cloudmusic,712,华为音乐,category_fallback,recognized music; app_vocab.json has one candidate: 华为音乐,False,True,app
com.lemon.lvpro,694,剪映,alias,explicit process alias: com.lemon.lvpro,False,True,app
com.huawei.hmos.hishell,687,,system,system/background service rule,True,False,system
com.xuexitong.study,648,,unresolved,no safe mapping rule matched,False,False,unresolved
com.tencent.qqlivepchm,641,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmsapp.thememanager,609,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmos.tips,599,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hms.huaweiid,597,,system,system/background service rule,True,False,system
com.cscec.portal.harmonyosnext,590,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmsapp.appgallery.devicetest,587,,unresolved,no safe mapping rule matched,False,False,unresolved
com.tencent.wechat.pc:browser,563,微信,alias,explicit process alias: com.tencent.wechat.pc,False,True,app
com.edrawsoft.mindmaster.pc,558,mindmaster,package_match,package contains mind map product,False,True,app
com.youku.next,542,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmos.taskmanager,541,,unresolved,no safe mapping rule matched,False,False,unresolved
com.oray.sunloginclient,512,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmsapp.books,507,,unresolved,no safe mapping rule matched,False,False,unresolved
com.ohos.callui,494,,system,system/background service rule,True,False,system
com.dragon.read.next,484,,unresolved,no safe mapping rule matched,False,False,unresolved
com.zhihu.hmos,465,,unresolved,no safe mapping rule matched,False,False,unresolved
cn.wps.office.hap:wpscloudsvr,464,WPS,alias,explicit process alias: cn.wps.office.hap,False,True,app
cherrystudio.cherryai.com,459,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.xljsci,458,,unresolved,no safe mapping rule matched,False,False,unresolved
com.baidu.translateharmony,452,,unresolved,no safe mapping rule matched,False,False,unresolved
com.hexin.hmn.sjcg,450,,unresolved,no safe mapping rule matched,False,False,unresolved
com.haozip2345.app,448,,unresolved,no safe mapping rule matched,False,False,unresolved
cn.biandangroup.biandan,428,,unresolved,no safe mapping rule matched,False,False,unresolved
com.huawei.hmos.ailife,422,,unresolved,no safe mapping rule matched,False,False,unresolved
com.zwsoft.zwcad.PE,388,中望CAD,package_match,package contains ZWCAD,False,True,app
org.xbgroup.clashboxLTS,387,,unresolved,no safe mapping rule matched,False,False,unresolved
com.ohos.mms,385,,system,system/background service rule,True,False,system
hos.cn.com.langeasy.bbdc,379,,unresolved,no safe mapping rule matched,False,False,unresolved
