phase,split,checkpoint_type,epoch,sample_index,user_id,target_timestamp,history_apps,history_ids,length,target_app,target_id,predicted_app,predicted_target_id,predicted_probability,hit_rank,top_k_apps,top_k_target_ids,top_k_probabilities,top_k_logits,logits,probabilities
final_eval,val,last,,0,device-00000012,2026-05-06 13:15:26,微信,[5],1,小红书,10,WPS,0,0.08571474,13,"[""WPS"",""华为浏览器"",""华为音乐""]","[0,1,4]","[0.08571474,0.08265866,0.06150256]","[0.44846028,0.41215512,0.11651426]","[0.44846028,0.41215512,0.09868817,0.03281443,0.11651426,-0.02869501,0.0948637,0.06621234,-0.1815924,0.01174656,-0.2216123,-0.16876906,-0.24092408,-0.27406815,-0.33071974,-0.17459321,-0.26061139,-0.32061225,-0.35657457]","[0.08571474,0.08265866,0.06041592,0.05656435,0.06150256,0.05318995,0.06018531,0.05848538,0.04564856,0.05538512,0.04385778,0.0462377,0.04301893,0.04161648,0.03932438,0.04596918,0.04218029,0.03972387,0.03832069]"
final_eval,val,last,,1,device-00000012,2026-05-06 13:26:49,微信|小红书,"[5,14]",2,华为浏览器,1,WPS,0,0.08694616,2,"[""WPS"",""华为浏览器"",""哔哩哔哩""]","[0,1,7]","[0.08694616,0.07069372,0.06337637]","[0.44756919,0.24063686,0.13137114]","[0.44756919,0.24063686,0.04361452,0.0473239,0.01738831,0.01641864,0.08009199,0.13137114,-0.08598289,0.04391298,-0.20066692,-0.24380851,-0.2164112,-0.22885165,-0.44811174,-0.24597356,-0.21564446,-0.32478201,-0.36844352]","[0.08694616,0.07069372,0.05805172,0.05826746,0.05654904,0.05649423,0.0602084,0.06337637,0.05099548,0.05806905,0.04547001,0.04355007,0.04475972,0.04420634,0.03550268,0.04345589,0.04479405,0.04016267,0.03844683]"
final_eval,val,last,,2,device-00000036,2026-05-05 22:03:31,日历,[9],1,哔哩哔哩,7,WPS,0,0.07412585,7,"[""WPS"",""华为浏览器"",""备忘录""]","[0,1,2]","[0.07412585,0.06351998,0.06089396]","[0.32611173,0.17170203,0.12948132]","[0.32611173,0.17170203,0.12948132,0.06158218,0.10042461,0.080267,-0.08201488,0.05944824,-0.05858853,-0.03075279,0.00162934,-0.15092644,-0.13801399,-0.17740896,-0.27205986,-0.07478531,-0.09643602,-0.18216586,-0.18440321]","[0.07412585,0.06351998,0.06089396,0.05689655,0.05915004,0.05796965,0.04928588,0.05677527,0.0504541,0.05187826,0.05358569,0.0460039,0.04660177,0.04480159,0.04075558,0.04964349,0.04858023,0.04458898,0.04448933]"
final_eval,val,last,,3,device-00000036,2026-05-06 22:59:20,亿图图示,[20],1,华为音乐,4,哔哩哔哩,7,0.06250341,9,"[""哔哩哔哩"",""华为邮箱"",""华为浏览器""]","[7,9,1]","[0.06250341,0.05909781,0.0588032]","[0.10746506,0.05143776,0.04644013]","[-0.01682573,0.04644013,-0.04490886,-0.01128726,-0.03303406,-0.01932049,-0.00159733,0.10746506,-0.08825096,0.05143776,-0.06670248,-0.19553319,-0.23325826,-0.15923165,-0.24509123,-0.08892836,-0.01554461,-0.18456033,-0.11227413]","[0.0551982,0.0588032,0.05366963,0.05550476,0.05431074,0.05506067,0.05604521,0.06250341,0.05139316,0.05909781,0.05251263,0.04616505,0.04445591,0.0478717,0.04393296,0.05135836,0.05526896,0.0466744,0.05017325]"
final_eval,val,last,,4,device-00000036,2026-05-06 23:47:10,华为音乐,[6],1,钉钉,13,WPS,0,0.06760579,14,"[""WPS"",""华为视频"",""哔哩哔哩""]","[0,5,7]","[0.06760579,0.06420808,0.05801192]","[0.238914,0.18734938,0.08586904]","[0.238914,0.05297065,0.02051903,0.00647135,0.0255587,0.18734938,0.01990644,0.08586904,-0.09646695,0.0306989,0.03073226,-0.14133199,-0.07435831,-0.10631856,-0.17755884,-0.13306344,0.05319493,-0.14382206,-0.23478298]","[0.06760579,0.05613448,0.05434207,0.05358402,0.05461662,0.06420808,0.05430879,0.05801192,0.04834257,0.05489808,0.05489992,0.04622162,0.04942327,0.04786866,0.04457712,0.04660539,0.05614707,0.04610667,0.04209785]"
final_eval,val,last,,5,device-00000036,2026-05-06 23:47:29,华为音乐|钉钉,"[6,15]",2,备忘录,2,WPS,0,0.0685249,6,"[""WPS"",""哔哩哔哩"",""华为视频""]","[0,7,5]","[0.0685249,0.06169273,0.06125312]","[0.23932846,0.13429733,0.12714607]","[0.23932846,0.02705923,0.06046601,0.116751,0.11486421,0.12714607,-0.07850251,0.13429733,-0.04506483,-0.05472264,-0.08020285,-0.19845593,-0.01151939,-0.21299484,-0.20190805,-0.05929485,-0.04472866,-0.17722502,-0.30939466]","[0.0685249,0.0554193,0.05730195,0.06061968,0.06050542,0.06125312,0.04986733,0.06169273,0.05156298,0.05106739,0.04978261,0.04423042,0.05332202,0.04359201,0.04407799,0.05083443,0.05158031,0.04517951,0.03958594]"
final_eval,val,last,,6,device-00000036,2026-05-07 09:43:25,微信,[5],1,WPS,0,WPS,0,0.08571474,1,"[""WPS"",""华为浏览器"",""华为音乐""]","[0,1,4]","[0.08571474,0.08265866,0.06150256]","[0.44846028,0.41215512,0.11651426]","[0.44846028,0.41215512,0.09868817,0.03281443,0.11651426,-0.02869501,0.0948637,0.06621234,-0.1815924,0.01174656,-0.2216123,-0.16876906,-0.24092408,-0.27406815,-0.33071974,-0.17459321,-0.26061139,-0.32061225,-0.35657457]","[0.08571474,0.08265866,0.06041592,0.05656435,0.06150256,0.05318995,0.06018531,0.05848538,0.04564856,0.05538512,0.04385778,0.0462377,0.04301893,0.04161648,0.03932438,0.04596918,0.04218029,0.03972387,0.03832069]"
final_eval,val,last,,7,device-00000036,2026-05-08 18:45:06,华为浏览器,[3],1,小红书,10,WPS,0,0.0809985,15,"[""WPS"",""微信"",""华为浏览器""]","[0,3,1]","[0.0809985,0.06947647,0.06564708]","[0.40398413,0.25054166,0.19384673]","[0.40398413,0.19384673,0.02805375,0.25054166,-0.01133633,-0.07104757,0.04564459,0.11761377,-0.06556895,-0.02245101,-0.20272967,-0.12861072,-0.27762192,-0.2018494,-0.26994151,-0.07231759,-0.12073218,-0.21187642,-0.22190216]","[0.0809985,0.06564708,0.05561763,0.06947647,0.05346943,0.05037016,0.05660464,0.06082861,0.05064688,0.05287843,0.04415547,0.04755256,0.04096936,0.04419435,0.04128524,0.05030623,0.04792869,0.04375343,0.04331696]"
final_eval,val,last,,8,device-00000042,2026-05-02 16:59:36,华为音乐,[6],1,华为浏览器,1,WPS,0,0.06760579,5,"[""WPS"",""华为视频"",""哔哩哔哩""]","[0,5,7]","[0.06760579,0.06420808,0.05801192]","[0.238914,0.18734938,0.08586904]","[0.238914,0.05297065,0.02051903,0.00647135,0.0255587,0.18734938,0.01990644,0.08586904,-0.09646695,0.0306989,0.03073226,-0.14133199,-0.07435831,-0.10631856,-0.17755884,-0.13306344,0.05319493,-0.14382206,-0.23478298]","[0.06760579,0.05613448,0.05434207,0.05358402,0.05461662,0.06420808,0.05430879,0.05801192,0.04834257,0.05489808,0.05489992,0.04622162,0.04942327,0.04786866,0.04457712,0.04660539,0.05614707,0.04610667,0.04209785]"
final_eval,val,last,,9,device-00000042,2026-05-03 15:56:19,小红书,[14],1,微信,3,哔哩哔哩,7,0.06432129,8,"[""哔哩哔哩"",""WPS"",""华为邮箱""]","[7,0,9]","[0.06432129,0.06377723,0.06236688]","[0.17651232,0.16801785,0.1456559]","[0.16801785,-0.18998936,-0.0703953,0.0208609,-0.05961819,0.07685486,0.04695208,0.17651232,0.032841,0.1456559,-0.0061837,-0.1425973,-0.13067964,-0.02368091,-0.29834348,-0.03693882,0.0637308,-0.14015351,-0.25349635]","[0.06377723,0.04458462,0.05024862,0.05504986,0.05079309,0.05822026,0.05650508,0.06432129,0.05571333,0.06236688,0.05358101,0.04674846,0.04730892,0.05265165,0.04000622,0.0519582,0.05746116,0.04686283,0.04184122]"
final_eval,val,last,,10,device-00000054,2026-05-06 09:27:40,华为视频,[7],1,微信,3,WPS,0,0.06934109,6,"[""WPS"",""华为视频"",""哔哩哔哩""]","[0,5,7]","[0.06934109,0.06846151,0.06066411]","[0.29817939,0.28541347,0.1644941]","[0.29817939,0.04557058,-0.02868778,0.14289367,0.14310259,0.28541347,0.16163646,0.1644941,0.09409276,0.10849963,-0.07100647,-0.28519806,-0.10359421,-0.2001144,-0.1188909,-0.02399483,-0.03915326,-0.16259456,-0.2468778]","[0.06934109,0.05386219,0.05000737,0.05936779,0.0593802,0.06846151,0.060491,0.06066411,0.05654015,0.05736061,0.04793528,0.03869306,0.04639836,0.04212932,0.04569401,0.05024261,0.04948675,0.04374003,0.04020456]"
final_eval,val,last,,11,device-00000054,2026-05-06 09:30:19,华为视频|微信,"[7,5]",2,华为浏览器,1,WPS,0,0.08640913,2,"[""WPS"",""华为浏览器"",""华为视频""]","[0,1,5]","[0.08640913,0.0745315,0.06981571]","[0.49965727,0.35178578,0.28642297]","[0.49965727,0.35178578,0.09553003,0.14208129,0.2683309,0.28642297,0.19807921,0.11581475,-0.07647881,0.00512885,-0.21014456,-0.32230967,-0.24028227,-0.32631621,-0.30901814,-0.1498042,-0.22372606,-0.29698884,-0.4187865]","[0.08640913,0.0745315,0.0576832,0.06043191,0.06856395,0.06981571,0.06391253,0.05886525,0.04856763,0.05269734,0.04249097,0.03798253,0.04122949,0.03783066,0.03849075,0.04513382,0.04191778,0.03895656,0.03448932]"
final_eval,val,last,,12,device-00000054,2026-05-07 16:17:51,抖音,[8],1,剪映,12,华为视频,5,0.06638682,13,"[""华为视频"",""哔哩哔哩"",""WPS""]","[5,7,0]","[0.06638682,0.0638495,0.0610066]","[0.2217771,0.18280734,0.13726062]","[0.13726062,0.0314508,-0.20174867,-0.12062489,-0.00855645,0.2217771,0.0794245,0.18280734,0.10505957,0.11407757,0.01702792,-0.17092037,-0.10159802,0.03488373,-0.00179338,-0.1527957,-0.09104487,-0.27517071,-0.17666665]","[0.0610066,0.05488128,0.04346573,0.04713881,0.05272897,0.06638682,0.05757831,0.0638495,0.05907341,0.05960855,0.05409541,0.04482657,0.04804429,0.05507,0.05308679,0.04564645,0.048554,0.04038873,0.04456972]"
