model,split,checkpoint_type,k,recall_at_k,num_samples,num_input_tokens,num_target_apps,history_len,window_seconds,embedding_dim,hidden_dim,dropout,batch_size,epochs,learning_rate,seed,excluded_target_samples,loss,mrr
app_lstm_next_bidirectional,val,last,1,0.16666666666666666,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,last,2,0.26666666666666666,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,last,3,0.32222222222222224,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,last,4,0.4,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,last,5,0.4777777777777778,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,last,6,0.5666666666666667,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,last,7,0.6111111111111112,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,last,8,0.6444444444444445,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,test,last,1,0.2518518518518518,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,last,2,0.3851851851851852,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,last,3,0.45185185185185184,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,last,4,0.5185185185185185,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,last,5,0.6222222222222222,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,last,6,0.6814814814814815,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,last,7,0.6962962962962963,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,last,8,0.7703703703703704,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,val,best_val_recall8,1,0.16666666666666666,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,best_val_recall8,2,0.26666666666666666,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,best_val_recall8,3,0.32222222222222224,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,best_val_recall8,4,0.4,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,best_val_recall8,5,0.4777777777777778,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,best_val_recall8,6,0.5666666666666667,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,best_val_recall8,7,0.6111111111111112,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,val,best_val_recall8,8,0.6444444444444445,90,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.8270650015936956,0.2955158763461643
app_lstm_next_bidirectional,test,best_val_recall8,1,0.2518518518518518,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,best_val_recall8,2,0.3851851851851852,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,best_val_recall8,3,0.45185185185185184,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,best_val_recall8,4,0.5185185185185185,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,best_val_recall8,5,0.6222222222222222,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,best_val_recall8,6,0.6814814814814815,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,best_val_recall8,7,0.6962962962962963,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
app_lstm_next_bidirectional,test,best_val_recall8,8,0.7703703703703704,135,21,19,23,3600,64,64,0.2,64,1,0.001,42,0,2.6887014088807284,0.3994003419522886
